"departamento","municipio","codigo_dane","armas_medios","fecha_hecho","genero","grupo_etario","cantidad","delito"
"CUNDINAMARCA","Fusagasugá","25290000","NO REPORTADO","08/01/2011","MASCULINO","ADULTOS","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"HUILA","Algeciras","41020000","NO REPORTADO","06/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"HUILA","Algeciras","41020000","NO REPORTADO","02/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"RISARALDA","Dosquebradas","66170000","NO REPORTADO","14/06/2011","MASCULINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"NARIÑO","San Andres de Tumaco","52835000","NO REPORTADO","11/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 207. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR"
"META","Cumaral","50226000","NO REPORTADO","25/05/2011","FEMENINO","MENORES","1","ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS"
"META","Cumaral","50226000","NO REPORTADO","25/05/2011","FEMENINO","MENORES","1","ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS"
"ATLÁNTICO","Polonuevo","08558000","NO REPORTADO","17/02/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"ATLÁNTICO","Barranquilla (CT)","08001000","NO REPORTADO","12/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"ATLÁNTICO","Barranquilla (CT)","08001000","NO REPORTADO","20/06/2011","FEMENINO","MENORES","1","ARTÍCULO 218. PORNOGRAFÍA CON MENORES"
"SUCRE","Corozal","70215000","NO REPORTADO","10/06/2011","FEMENINO","MENORES","1","ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS"
"VALLE","Cali (CT)","76001000","NO REPORTADO","23/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"VALLE","Cali (CT)","76001000","NO REPORTADO","22/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"VALLE","Cali (CT)","76001000","NO REPORTADO","09/06/2011","MASCULINO","ADULTOS","1","ARTÍCULO 218. PORNOGRAFÍA CON MENORES"
"ANTIOQUIA","Peñol","05541000","NO REPORTADO","16/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 206. ACTO SEXUAL VIOLENTO"
"SANTANDER","San Gil","68679000","NO REPORTADO","20/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"SANTANDER","Socorro","68755000","NO REPORTADO","04/05/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 213. INDUCCIÓN A LA PROSTITUCIÓN"
"CESAR","Valledupar (CT)","20001000","NO REPORTADO","20/01/2011","FEMENINO","MENORES","1","ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN)"
"SANTANDER","Bucaramanga (CT)","68001000","NO REPORTADO","13/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"VALLE","Cali (CT)","76001000","NO REPORTADO","20/06/2011","FEMENINO","MENORES","1","ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN)"
"VALLE","Cali (CT)","76001000","NO REPORTADO","23/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"SANTANDER","Barbosa","68077000","NO REPORTADO","31/01/2011","MASCULINO","ADOLESCENTES","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"VALLE","Guadalajara de Buga","76111000","NO REPORTADO","26/06/2011","MASCULINO","ADOLESCENTES","1","ARTÍCULO 206. ACTO SEXUAL VIOLENTO"
"SANTANDER","Floridablanca","68276000","NO REPORTADO","15/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"SANTANDER","Bucaramanga (CT)","68001000","NO REPORTADO","20/06/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"BOGOTA","Bogotá D.C. (CT)","11001000","NO REPORTADO","24/07/2010","FEMENINO","ADULTOS","1","ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN)"
"SANTANDER","Bucaramanga (CT)","68001000","NO REPORTADO","20/06/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"SANTANDER","Bucaramanga (CT)","68001000","NO REPORTADO","19/06/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"BOLÍVAR","Mompós","13468000","NO REPORTADO","27/05/2011","FEMENINO","ADULTOS","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"VALLE","Tuluá","76834000","NO REPORTADO","12/06/2011","FEMENINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"CAUCA","Timbío","19807000","NO REPORTADO","23/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN)"
"SANTANDER","Floridablanca","68276000","NO REPORTADO","25/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 213 A. PROXENETISMO CON MENOR DE EDAD"
"MAGDALENA","Santa Marta (CT)","47001000","NO REPORTADO","24/05/2011","FEMENINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"VALLE","Tuluá","76834000","NO REPORTADO","21/05/2011","FEMENINO","ADULTOS","1","ARTÍCULO 210 A. ACOSO SEXUAL"
"VALLE","Tuluá","76834000","NO REPORTADO","18/05/2011","MASCULINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"VALLE","Tuluá","76834000","NO REPORTADO","07/04/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"ATLÁNTICO","Soledad","08758000","NO REPORTADO","01/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"QUINDÍO","Armenia (CT)","63001000","NO REPORTADO","16/05/2011","MASCULINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"QUINDÍO","Armenia (CT)","63001000","NO REPORTADO","16/05/2011","MASCULINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"QUINDÍO","Armenia (CT)","63001000","NO REPORTADO","16/05/2011","MASCULINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"RISARALDA","Pereira (CT)","66001000","NO REPORTADO","20/06/2011","MASCULINO","ADULTOS","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"VALLE","Cali (CT)","76001000","NO REPORTADO","15/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 207. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR"
"RISARALDA","Pereira (CT)","66001000","NO REPORTADO","21/01/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"VALLE","Cali (CT)","76001000","NO REPORTADO","13/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 210 A. ACOSO SEXUAL"
"VALLE","Cali (CT)","76001000","NO REPORTADO","20/05/2011","MASCULINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"SUCRE","Sincelejo (CT)","70001000","NO REPORTADO","17/06/2011","FEMENINO","MENORES","1","ARTÍCULO 206. ACTO SEXUAL VIOLENTO"
"CESAR","Valledupar (CT)","20001000","NO REPORTADO","24/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"NARIÑO","San Andres de Tumaco","52835000","NO REPORTADO","14/06/2011","MASCULINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"HUILA","Neiva (CT)","41001000","NO REPORTADO","20/03/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 211. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR  (CIRCUNSTANC"
"BOGOTA","Bogotá D.C. (CT)","11001000","NO REPORTADO","13/06/2011","MASCULINO","ADULTOS","1","ARTÍCULO 211. ACTO SEXUAL VIOLENTO (CIRCUNSTANCIAS DE AGRAVACIÓN)"
"SANTANDER","Barrancabermeja","68081000","NO REPORTADO","02/05/2011","MASCULINO","ADULTOS","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"HUILA","La Plata","41396000","NO REPORTADO","28/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"ATLÁNTICO","Soledad","08758000","NO REPORTADO","17/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"SANTANDER","Floridablanca","68276000","NO REPORTADO","25/06/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"HUILA","Pitalito","41551000","NO REPORTADO","18/06/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 210 A. ACOSO SEXUAL"
"HUILA","Pitalito","41551000","NO REPORTADO","20/06/2011","FEMENINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"BOGOTA","Bogotá D.C. (CT)","11001000","NO REPORTADO","16/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"VALLE","Cali (CT)","76001000","NO REPORTADO","31/05/2011","FEMENINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"CAQUETÁ","Florencia (CT)","18001000","NO REPORTADO","05/07/2011","MASCULINO","ADOLESCENTES","1","ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN)"
"SANTANDER","Floridablanca","68276000","NO REPORTADO","22/06/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"VALLE","Roldanillo","76622000","NO REPORTADO","20/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS"
"CASANARE","Yopal (CT)","85001000","NO REPORTADO","29/06/2011","MASCULINO","ADOLESCENTES","1","ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN)"
"CALDAS","Manizales (CT)","17001000","NO REPORTADO","03/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 205. ACCESO CARNAL VIOLENTO"
"VALLE","Cali (CT)","76001000","NO REPORTADO","24/06/2011","FEMENINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"CESAR","Valledupar (CT)","20001000","NO REPORTADO","21/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 206. ACTO SEXUAL VIOLENTO"
"CESAR","Astrea","20032000","NO REPORTADO","22/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN)"
"ANTIOQUIA","Medellín (CT)","05001000","NO REPORTADO","05/07/2011","FEMENINO","ADULTOS","1","ARTÍCULO 206. ACTO SEXUAL VIOLENTO"
"META","Mesetas","50330000","NO REPORTADO","17/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"HUILA","Tello","41799000","NO REPORTADO","12/06/2011","MASCULINO","ADULTOS","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"ATLÁNTICO","Barranquilla (CT)","08001000","NO REPORTADO","06/07/2011","FEMENINO","MENORES","1","ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN)"
"VALLE","Cali (CT)","76001000","NO REPORTADO","30/06/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"VALLE","Cali (CT)","76001000","NO REPORTADO","08/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"VALLE","Ginebra","76306000","NO REPORTADO","09/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 210 A. ACOSO SEXUAL"
"VALLE","Guacarí","76318000","NO REPORTADO","24/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 206. ACTO SEXUAL VIOLENTO"
"VALLE","Guadalajara de Buga","76111000","NO REPORTADO","27/06/2011","FEMENINO","ADULTOS","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"VALLE","Cali (CT)","76001000","NO REPORTADO","01/07/2011","FEMENINO","ADULTOS","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"VALLE","Cali (CT)","76001000","NO REPORTADO","05/07/2011","FEMENINO","ADULTOS","1","ARTÍCULO 205. ACCESO CARNAL VIOLENTO"
"HUILA","Garzón","41298000","NO REPORTADO","01/07/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN)"
"HUILA","Garzón","41298000","NO REPORTADO","01/07/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS"
"HUILA","Garzón","41298000","NO REPORTADO","05/07/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS"
"CUNDINAMARCA","Soacha","25754000","NO REPORTADO","21/06/2010","FEMENINO","ADULTOS","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"BOLÍVAR","Cartagena (CT)","13001000","NO REPORTADO","10/07/2011","FEMENINO","ADULTOS","1","ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN)"
"VALLE","Cali (CT)","76001000","NO REPORTADO","05/07/2011","MASCULINO","MENORES","1","ARTÍCULO 206. ACTO SEXUAL VIOLENTO"
"CAQUETÁ","Florencia (CT)","18001000","NO REPORTADO","11/07/2011","MASCULINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"CHOCÓ","Quibdó (CT)","27001000","NO REPORTADO","10/07/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 205. ACCESO CARNAL VIOLENTO"
"META","Villavicencio (CT)","50001000","NO REPORTADO","09/07/2011","FEMENINO","ADULTOS","1","ARTÍCULO 213. INDUCCIÓN A LA PROSTITUCIÓN"
"VALLE","Caicedonia","76122000","NO REPORTADO","10/06/2011","FEMENINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"ARAUCA","Tame","81794000","NO REPORTADO","26/06/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 211. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR (CIRCUNSTANCIAS AGRAVACIÓN"
"SANTANDER","Güepsa","68327000","NO REPORTADO","01/07/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 213. INDUCCIÓN A LA PROSTITUCIÓN"
"BOGOTA","Bogotá D.C. (CT)","11001000","NO REPORTADO","13/08/2011","FEMENINO","ADULTOS","1","ARTÍCULO 210 A. ACOSO SEXUAL"
"SANTANDER","Bucaramanga (CT)","68001000","NO REPORTADO","06/11/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 207. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR"
"SANTANDER","Bucaramanga (CT)","68001000","NO REPORTADO","08/11/2011","FEMENINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"VALLE","Cali (CT)","76001000","NO REPORTADO","11/11/2011","MASCULINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"NARIÑO","Gualmatán","52323000","NO REPORTADO","20/08/2011","FEMENINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"NARIÑO","Pasto (CT)","52001001","NO REPORTADO","04/03/2011","FEMENINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"VALLE","Cali (CT)","76001000","NO REPORTADO","02/11/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 211. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR  (CIRCUNSTANC"
"QUINDÍO","La Tebaida","63401000","NO REPORTADO","30/10/2011","MASCULINO","MENORES","1","ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS"
"VALLE","Cali (CT)","76001000","NO REPORTADO","05/11/2011","FEMENINO","ADULTOS","1","ARTÍCULO 211. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR (CIRCUNSTANCIAS AGRAVACIÓN"
"VALLE","Cali (CT)","76001000","NO REPORTADO","05/11/2011","FEMENINO","ADULTOS","1","ARTÍCULO 211. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR (CIRCUNSTANCIAS AGRAVACIÓN"
"BOGOTA","Bogotá D.C. (CT)","11001000","NO REPORTADO","08/11/2011","FEMENINO","MENORES","1","ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN)"
"VALLE","Cali (CT)","76001000","NO REPORTADO","11/11/2011","MASCULINO","MENORES","1","ARTÍCULO 205. ACCESO CARNAL VIOLENTO"
"CHOCÓ","Quibdó (CT)","27001000","NO REPORTADO","27/09/2011","FEMENINO","ADULTOS","1","ARTÍCULO 206. ACTO SEXUAL VIOLENTO"
"HUILA","Garzón","41298000","NO REPORTADO","12/10/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 213. INDUCCIÓN A LA PROSTITUCIÓN"
"ATLÁNTICO","Soledad","08758000","NO REPORTADO","06/11/2011","FEMENINO","ADULTOS","1","ARTÍCULO 205. ACCESO CARNAL VIOLENTO"
"BOYACÁ","Moniquirá","15469000","NO REPORTADO","23/10/2011","FEMENINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"ATLÁNTICO","Barranquilla (CT)","08001000","NO REPORTADO","18/09/2011","FEMENINO","ADULTOS","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"VALLE","Palmira","76520000","NO REPORTADO","08/11/2011","FEMENINO","ADULTOS","1","ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN)"
"VALLE","Palmira","76520000","NO REPORTADO","17/09/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 217. ESTÍMULO A LA PROSTITUCIÓN DE MENORES"
"VALLE","Cali (CT)","76001000","NO REPORTADO","16/09/2011","FEMENINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"MAGDALENA","Santa Marta (CT)","47001000","NO REPORTADO","11/11/2011","MASCULINO","MENORES","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"ANTIOQUIA","Itagui","05360000","NO REPORTADO","08/10/2011","FEMENINO","ADULTOS","1","ARTÍCULO 206. ACTO SEXUAL VIOLENTO"
"RISARALDA","Pereira (CT)","66001000","NO REPORTADO","14/10/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 207. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR"
"RISARALDA","Pereira (CT)","66001000","NO REPORTADO","17/10/2011","MASCULINO","MENORES","1","ARTÍCULO 217 A. DEMANDA DE EXPLOTACION SEXUAL COMERCIAL DE PERSONA MENOR DE 18 AÑOS DE EDAD"
"RISARALDA","Pereira (CT)","66001000","NO REPORTADO","17/10/2011","MASCULINO","MENORES","1","ARTÍCULO 217 A. DEMANDA DE EXPLOTACION SEXUAL COMERCIAL DE PERSONA MENOR DE 18 AÑOS DE EDAD"
"ANTIOQUIA","Envigado","05266000","NO REPORTADO","01/11/2011","FEMENINO","ADULTOS","1","ARTÍCULO 211. ACTO SEXUAL VIOLENTO (CIRCUNSTANCIAS DE AGRAVACIÓN)"
"HUILA","La Argentina","41378000","NO REPORTADO","12/08/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 213 A. PROXENETISMO CON MENOR DE EDAD"
"NARIÑO","Pasto (CT)","52001000","NO REPORTADO","22/09/2011","FEMENINO","ADULTOS","1","ARTÍCULO 213. INDUCCIÓN A LA PROSTITUCIÓN"
"HUILA","Neiva (CT)","41001000","NO REPORTADO","08/06/2011","FEMENINO","MENORES","1","ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN)"
"NARIÑO","El Charco","52250000","NO REPORTADO","17/01/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 207. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR"
"VALLE","Yumbo","76892000","NO REPORTADO","03/09/2011","FEMENINO","ADULTOS","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"HUILA","Rivera","41615000","NO REPORTADO","18/06/2011","MASCULINO","ADULTOS","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"HUILA","Rivera","41615000","NO REPORTADO","13/09/2011","MASCULINO","ADULTOS","1","ARTÍCULO 206. ACTO SEXUAL VIOLENTO"
"RISARALDA","Pereira (CT)","66001000","NO REPORTADO","20/09/2011","FEMENINO","ADULTOS","1","ARTÍCULO 213. INDUCCIÓN A LA PROSTITUCIÓN"
"SUCRE","San Marcos","70708014","NO REPORTADO","10/10/2011","FEMENINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"SANTANDER","Barrancabermeja","68081000","NO REPORTADO","17/04/2011","FEMENINO","MENORES","1","ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN)"
"SANTANDER","San Gil","68679000","NO REPORTADO","10/10/2011","MASCULINO","ADOLESCENTES","1","ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS"
"NARIÑO","Pasto (CT)","52001000","NO REPORTADO","10/10/2011","MASCULINO","ADULTOS","1","ARTÍCULO 206. ACTO SEXUAL VIOLENTO"
"VALLE","Cali (CT)","76001000","NO REPORTADO","14/10/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"ANTIOQUIA","Medellín (CT)","05001000","NO REPORTADO","27/10/2011","FEMENINO","MENORES","1","ARTÍCULO 211. ACTO SEXUAL VIOLENTO (CIRCUNSTANCIAS DE AGRAVACIÓN)"
"CAUCA","Popayán (CT)","19001000","NO REPORTADO","06/09/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 206. ACTO SEXUAL VIOLENTO"
"CAQUETÁ","El Doncello","18247000","NO REPORTADO","19/08/2011","MASCULINO","ADULTOS","1","ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS"
"CAQUETÁ","Florencia (CT)","18001000","NO REPORTADO","12/08/2011","FEMENINO","ADOLESCENTES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"CAQUETÁ","Florencia (CT)","18001000","NO REPORTADO","25/08/2011","FEMENINO","ADULTOS","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"CAQUETÁ","Florencia (CT)","18001000","NO REPORTADO","20/07/2011","FEMENINO","ADULTOS","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"SANTANDER","San Gil","68679000","NO REPORTADO","29/08/2011","MASCULINO","ADULTOS","1","ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN)"
"VALLE","Cali (CT)","76001000","NO REPORTADO","17/10/2011","FEMENINO","ADULTOS","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"SANTANDER","Bucaramanga (CT)","68001000","NO REPORTADO","17/09/2011","FEMENINO","ADULTOS","1","ARTÍCULO 207. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR"
"SANTANDER","Bucaramanga (CT)","68001000","NO REPORTADO","19/09/2011","FEMENINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"BOGOTA","Bogotá D.C. (CT)","11001000","NO REPORTADO","30/09/2011","FEMENINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
