"departamento","municipio","codigo_dane","armas_medios","fecha_hecho","genero","grupo_etario","cantidad","delito"
"CAQUETÁ","Florencia (CT)","18001000","NO REPORTADO","08/03/2010","FEMENINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"CAQUETÁ","Florencia (CT)","18001000","NO REPORTADO","03/03/2010","FEMENINO","ADOLESCENTES","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"CHOCÓ","Istmina","27361026","NO REPORTADO","01/01/2010","FEMENINO","ADULTOS","1","ARTÍCULO 205. ACCESO CARNAL VIOLENTO"
"VALLE","Guadalajara de Buga","76111000","NO REPORTADO","26/02/2010","FEMENINO","ADOLESCENTES","1","ARTÍCULO 218. PORNOGRAFÍA CON MENORES"
"PUTUMAYO","Puerto Asís","86568000","NO REPORTADO","01/03/2010","FEMENINO","ADULTOS","1","ARTÍCULO 205. ACCESO CARNAL VIOLENTO"
"PUTUMAYO","Puerto Leguízamo","86573000","NO REPORTADO","20/01/2010","FEMENINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"CAQUETÁ","Florencia (CT)","18001000","NO REPORTADO","06/03/2010","FEMENINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"PUTUMAYO","Puerto Asís","86568000","NO REPORTADO","07/03/2010","FEMENINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"RISARALDA","Belén de Umbría","66088000","NO REPORTADO","17/01/2010","FEMENINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"ANTIOQUIA","Copacabana","05212000","NO REPORTADO","01/02/2010","FEMENINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"BOYACÁ","Guateque","15322000","NO REPORTADO","28/02/2010","FEMENINO","ADULTOS","1","ARTÍCULO 207. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR"
"SUCRE","Los Palmitos","70418000","NO REPORTADO","09/01/2010","FEMENINO","ADOLESCENTES","1","ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS"
"TOLIMA","Ibagué (CT)","73001000","NO REPORTADO","14/02/2010","FEMENINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"RISARALDA","Dosquebradas","66170000","NO REPORTADO","22/02/2010","FEMENINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"BOGOTA","Bogotá D.C. (CT)","11001000","NO REPORTADO","04/02/2010","FEMENINO","ADULTOS","1","ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN)"
"VALLE","Cali (CT)","76001000","NO REPORTADO","13/01/2010","FEMENINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
