departamento,municipio,codigo_dane,armas_medios,fecha_hecho,genero,grupo_etario,cantidad,delito,FECHA,ANO,MES
ATLÁNTICO,SOLEDAD,08758000,NO REPORTADO,01/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 211. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR (CIRCUNSTANCIAS AGRAVACIÓN,2010-01-01,2010,1
ATLÁNTICO,SOLEDAD,08758000,NO REPORTADO,01/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-01,2010,1
BOGOTA,BOGOTÁ D.C.,11001000,NO REPORTADO,01/01/2010,FEMENINO,ADULTOS,2,ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN),2010-01-01,2010,1
BOLÍVAR,MAGANGUÉ,13430000,NO REPORTADO,01/01/2010,MASCULINO,ADULTOS,1,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,2010-01-01,2010,1
CHOCÓ,ISTMINA,27361026,NO REPORTADO,01/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,2010-01-01,2010,1
GUAJIRA,MAICAO,44430000,NO REPORTADO,01/01/2010,FEMENINO,ADULTOS,2,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-01,2010,1
HUILA,GARZÓN,41298000,NO REPORTADO,01/01/2010,MASCULINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-01,2010,1
HUILA,SAN AGUSTÍN,41668000,NO REPORTADO,01/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-01,2010,1
SANTANDER,LA BELLEZA,68377000,NO REPORTADO,01/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-01-01,2010,1
SANTANDER,OCAMONTE,68498000,NO REPORTADO,01/01/2010,MASCULINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-01,2010,1
SUCRE,SINCELEJO,70001000,NO REPORTADO,01/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-01,2010,1
VALLE,CALI,76001000,NO REPORTADO,01/01/2010,MASCULINO,ADOLESCENTES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-01,2010,1
VALLE,CARTAGO,76147000,NO REPORTADO,01/01/2010,MASCULINO,ADOLESCENTES,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-01,2010,1
AMAZONAS,LETICIA,91001000,NO REPORTADO,02/01/2010,MASCULINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-02,2010,1
ANTIOQUIA,MEDELLÍN,05001005,NO REPORTADO,02/01/2010,MASCULINO,MENORES,2,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-02,2010,1
ATLÁNTICO,SABANAGRANDE,08634000,NO REPORTADO,02/01/2010,MASCULINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-02,2010,1
CUNDINAMARCA,FUSAGASUGÁ,25290000,NO REPORTADO,02/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-02,2010,1
CUNDINAMARCA,VILLAPINZÓN,25873000,NO REPORTADO,02/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,2010-01-02,2010,1
VALLE,CALI,76001000,NO REPORTADO,02/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-01-02,2010,1
VALLE,CALI,76001000,NO REPORTADO,02/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-02,2010,1
AMAZONAS,LETICIA,91798000,NO REPORTADO,03/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-03,2010,1
HUILA,NEIVA,41001000,NO REPORTADO,03/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 218. PORNOGRAFÍA CON MENORES,2010-01-03,2010,1
MAGDALENA,SANTA MARTA,47001000,NO REPORTADO,03/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 211. ACCESO CARNAL VIOLENTO (CIRCUNSTANCIAS AGRAVACIÓN),2010-01-03,2010,1
META,CUMARAL,50226000,NO REPORTADO,03/01/2010,MASCULINO,ADULTOS,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-03,2010,1
SUCRE,SAN MARCOS,70708000,NO REPORTADO,03/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,2010-01-03,2010,1
BOGOTA,BOGOTÁ D.C.,11001000,NO REPORTADO,04/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-01-04,2010,1
CALDAS,SAMANÁ,17662000,NO REPORTADO,04/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-04,2010,1
SANTANDER,PIEDECUESTA,68547000,NO REPORTADO,04/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-04,2010,1
SUCRE,PALMITO,70523001,NO REPORTADO,04/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,2010-01-04,2010,1
SUCRE,SINCELEJO,70001000,NO REPORTADO,04/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 207. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR,2010-01-04,2010,1
ANTIOQUIA,APARTADÓ,05045000,NO REPORTADO,05/01/2010,MASCULINO,ADULTOS,1,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,2010-01-05,2010,1
BOGOTA,BOGOTÁ D.C.,11001000,NO REPORTADO,05/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-01-05,2010,1
CAQUETÁ,EL PAUJIL,18256000,NO REPORTADO,05/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-05,2010,1
CÓRDOBA,MONTERÍA,23001000,NO REPORTADO,05/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-05,2010,1
VALLE,CALI,76001000,NO REPORTADO,05/01/2010,MASCULINO,ADOLESCENTES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-05,2010,1
BOLÍVAR,SAN JACINTO,13654000,NO REPORTADO,06/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-06,2010,1
BOYACÁ,PUERTO BOYACÁ,15572000,NO REPORTADO,06/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 213. INDUCCIÓN A LA PROSTITUCIÓN,2010-01-06,2010,1
META,VILLAVICENCIO,50001000,NO REPORTADO,06/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-06,2010,1
RISARALDA,SANTA ROSA DE CABAL,66682000,NO REPORTADO,06/01/2010,MASCULINO,MENORES,1,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-01-06,2010,1
SANTANDER,BUCARAMANGA,68001000,NO REPORTADO,06/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-06,2010,1
SANTANDER,FLORIDABLANCA,68276000,NO REPORTADO,06/01/2010,MASCULINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-06,2010,1
SUCRE,SANTIAGO DE TOLÚ,70820000,NO REPORTADO,06/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-06,2010,1
TOLIMA,IBAGUÉ,73001000,NO REPORTADO,06/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-06,2010,1
BOYACÁ,PUERTO BOYACÁ,15572007,NO REPORTADO,07/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-07,2010,1
GUAJIRA,MANAURE,44560000,NO REPORTADO,07/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-07,2010,1
NORTE DE SANTANDER,PAMPLONA,54518000,NO REPORTADO,07/01/2010,MASCULINO,ADULTOS,1,ARTÍCULO 211. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR (CIRCUNSTANC,2010-01-07,2010,1
TOLIMA,GUAMO,73319000,NO REPORTADO,07/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,2010-01-07,2010,1
CAQUETÁ,FLORENCIA,18001000,NO REPORTADO,08/01/2010,MASCULINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-08,2010,1
BOYACÁ,DUITAMA,15238000,NO REPORTADO,09/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-09,2010,1
BOYACÁ,SANTA ROSA DE VITERBO,15693000,NO REPORTADO,09/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-09,2010,1
SUCRE,LOS PALMITOS,70418000,NO REPORTADO,09/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,2010-01-09,2010,1
ATLÁNTICO,BARANOA,08078001,NO REPORTADO,10/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-10,2010,1
CAQUETÁ,EL PAUJIL,18256000,NO REPORTADO,10/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 213. INDUCCIÓN A LA PROSTITUCIÓN,2010-01-10,2010,1
META,VILLAVICENCIO,50001000,NO REPORTADO,10/01/2010,FEMENINO,MENORES,1,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-01-10,2010,1
CUNDINAMARCA,SOACHA,25754000,NO REPORTADO,11/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-11,2010,1
CAQUETÁ,FLORENCIA,18001000,NO REPORTADO,12/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-12,2010,1
CUNDINAMARCA,SOACHA,25754000,NO REPORTADO,12/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN),2010-01-12,2010,1
SANTANDER,FLORIDABLANCA,68276000,NO REPORTADO,12/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 213. INDUCCIÓN A LA PROSTITUCIÓN,2010-01-12,2010,1
SUCRE,COLOSO,70204000,NO REPORTADO,12/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,2010-01-12,2010,1
SUCRE,SINCELEJO,70001000,NO REPORTADO,12/01/2010,FEMENINO,MENORES,1,ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN),2010-01-12,2010,1
ANTIOQUIA,CAREPA,05147000,NO REPORTADO,13/01/2010,FEMENINO,MENORES,1,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-01-13,2010,1
ARAUCA,ARAUCA,81001000,NO REPORTADO,13/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-13,2010,1
HUILA,AIPE,41016000,NO REPORTADO,13/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210 A. ACOSO SEXUAL,2010-01-13,2010,1
MAGDALENA,SANTA MARTA,47001023,NO REPORTADO,13/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 211. ACCESO CARNAL VIOLENTO (CIRCUNSTANCIAS AGRAVACIÓN),2010-01-13,2010,1
SANTANDER,SAN GIL,68679000,NO REPORTADO,13/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 207. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR,2010-01-13,2010,1
VALLE,CALI,76001000,NO REPORTADO,13/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-13,2010,1
BOGOTA,BOGOTÁ D.C.,11001000,NO REPORTADO,14/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-01-14,2010,1
GUAJIRA,MAICAO,44430000,NO REPORTADO,14/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-14,2010,1
NORTE DE SANTANDER,OCAÑA,54498000,NO REPORTADO,14/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-14,2010,1
SANTANDER,PIEDECUESTA,68547000,NO REPORTADO,14/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 218. PORNOGRAFÍA CON MENORES,2010-01-14,2010,1
VALLE,EL CERRITO,76248000,NO REPORTADO,14/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-01-14,2010,1
CASANARE,HATO COROZAL,85125000,NO REPORTADO,15/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-15,2010,1
META,VILLAVICENCIO,50001000,NO REPORTADO,15/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-15,2010,1
VALLE,CALI,76001000,NO REPORTADO,15/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-15,2010,1
VALLE,EL CERRITO,76248000,NO REPORTADO,16/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-01-16,2010,1
RISARALDA,BELÉN DE UMBRÍA,66088000,NO REPORTADO,17/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-17,2010,1
SUCRE,SANTIAGO DE TOLÚ,70820000,NO REPORTADO,17/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-17,2010,1
VALLE,EL ÁGUILA,76243000,NO REPORTADO,17/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-17,2010,1
ANTIOQUIA,CHIGORODÓ,05172000,NO REPORTADO,18/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-18,2010,1
BOGOTA,BOGOTÁ D.C.,11001000,NO REPORTADO,18/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-01-18,2010,1
NARIÑO,IPIALES,52356000,NO REPORTADO,18/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-18,2010,1
NARIÑO,IPIALES,52356000,NO REPORTADO,18/01/2010,FEMENINO,ADULTOS,2,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-18,2010,1
ANTIOQUIA,MEDELLÍN,05001014,NO REPORTADO,19/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-19,2010,1
BOLÍVAR,MAGANGUÉ,13430000,NO REPORTADO,19/01/2010,FEMENINO,MENORES,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-19,2010,1
PUTUMAYO,PUERTO LEGUÍZAMO,86573000,NO REPORTADO,20/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-20,2010,1
SANTANDER,BUCARAMANGA,68001000,NO REPORTADO,20/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN),2010-01-20,2010,1
VALLE,CALI,76001000,NO REPORTADO,20/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,2010-01-20,2010,1
CÓRDOBA,MONTERÍA,23001000,NO REPORTADO,21/01/2010,FEMENINO,MENORES,1,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,2010-01-21,2010,1
QUINDÍO,ARMENIA,63001000,NO REPORTADO,21/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-01-21,2010,1
SANTANDER,GUAVATÁ,68324000,NO REPORTADO,21/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-21,2010,1
ANTIOQUIA,REMEDIOS,05604000,NO REPORTADO,22/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,2010-01-22,2010,1
ATLÁNTICO,SOLEDAD,08758000,NO REPORTADO,22/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-22,2010,1
CUNDINAMARCA,MADRID,25430000,NO REPORTADO,22/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-22,2010,1
CÓRDOBA,MONTERÍA,23001000,NO REPORTADO,22/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,2010-01-22,2010,1
CÓRDOBA,MONTERÍA,23001000,NO REPORTADO,22/01/2010,MASCULINO,ADOLESCENTES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-22,2010,1
BOGOTA,BOGOTÁ D.C.,11001000,NO REPORTADO,23/01/2010,MASCULINO,ADULTOS,1,ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN),2010-01-23,2010,1
SANTANDER,BUCARAMANGA,68001000,NO REPORTADO,23/01/2010,FEMENINO,MENORES,1,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,2010-01-23,2010,1
ATLÁNTICO,BARRANQUILLA,08001000,NO REPORTADO,24/01/2010,MASCULINO,ADOLESCENTES,2,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-24,2010,1
MAGDALENA,EL BANCO,47245000,NO REPORTADO,24/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 207. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR,2010-01-24,2010,1
RISARALDA,PEREIRA,66001000,NO REPORTADO,24/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-24,2010,1
SUCRE,SINCELEJO,70001000,NO REPORTADO,24/01/2010,MASCULINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-24,2010,1
TOLIMA,IBAGUÉ,73001000,NO REPORTADO,24/01/2010,FEMENINO,MENORES,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-24,2010,1
CHOCÓ,QUIBDÓ,27001000,NO REPORTADO,25/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-25,2010,1
PUTUMAYO,MOCOA,86001000,NO REPORTADO,25/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210 A. ACOSO SEXUAL,2010-01-25,2010,1
SUCRE,SANTIAGO DE TOLÚ,70820000,NO REPORTADO,25/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,2010-01-25,2010,1
ANTIOQUIA,MEDELLÍN,05001000,NO REPORTADO,26/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-26,2010,1
ATLÁNTICO,SOLEDAD,08758000,NO REPORTADO,26/01/2010,MASCULINO,ADULTOS,1,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,2010-01-26,2010,1
BOGOTA,BOGOTÁ D.C.,11001000,NO REPORTADO,26/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 211. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR (CIRCUNSTANC,2010-01-26,2010,1
HUILA,NEIVA,41001000,NO REPORTADO,26/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,2010-01-26,2010,1
PUTUMAYO,VILLAGARZÓN,86885000,NO REPORTADO,26/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-26,2010,1
SUCRE,SANTIAGO DE TOLÚ,70820000,NO REPORTADO,26/01/2010,MASCULINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-26,2010,1
VALLE,GINEBRA,76306000,NO REPORTADO,26/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-26,2010,1
ATLÁNTICO,BARRANQUILLA,08001000,NO REPORTADO,27/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-27,2010,1
CAQUETÁ,FLORENCIA,18001000,NO REPORTADO,27/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-27,2010,1
MAGDALENA,SANTA MARTA,47001000,NO REPORTADO,27/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-27,2010,1
ANTIOQUIA,CALDAS,05129000,NO REPORTADO,28/01/2010,FEMENINO,MENORES,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-28,2010,1
ATLÁNTICO,SOLEDAD,08758000,NO REPORTADO,28/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,2010-01-28,2010,1
BOGOTA,BOGOTÁ D.C.,11001000,NO REPORTADO,28/01/2010,MASCULINO,MENORES,1,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-01-28,2010,1
CAQUETÁ,SAN VICENTE DEL CAGUÁN,18753000,NO REPORTADO,28/01/2010,FEMENINO,ADOLESCENTES,2,ARTÍCULO 213. INDUCCIÓN A LA PROSTITUCIÓN,2010-01-28,2010,1
CUNDINAMARCA,SOACHA,25754000,NO REPORTADO,28/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-28,2010,1
SUCRE,SANTIAGO DE TOLÚ,70820000,NO REPORTADO,28/01/2010,MASCULINO,MENORES,1,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,2010-01-28,2010,1
CUNDINAMARCA,SOACHA,25754000,NO REPORTADO,29/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-29,2010,1
SANTANDER,CHARALÁ,68167000,NO REPORTADO,29/01/2010,FEMENINO,MENORES,2,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-29,2010,1
SANTANDER,OCAMONTE,68498000,NO REPORTADO,29/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-29,2010,1
VALLE,CALI,76001000,NO REPORTADO,29/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-29,2010,1
