fecha_hecho,cod_depto,departamento,cod_muni,municipio,zona,sexo,arma_medio,_modalidad_presunta,spoa_caracterizacion,cantidad,fecha,tipo
2003-01-01T00:00:00.000,15,BOYACA,15001,TUNJA,URBANA,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,RIÑAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,17,CALDAS,17174,CHINCHINA,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,17,CALDAS,17001,MANIZALES,RURAL,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,17,CALDAS,17001,MANIZALES,URBANA,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,18,CAQUETA,18001,FLORENCIA,RURAL,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,19,CAUCA,19130,CAJIBIO,RURAL,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,19,CAUCA,19001,POPAYAN,URBANA,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,19,CAUCA,19001,POPAYAN,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,23,CORDOBA,23678,SAN CARLOS,RURAL,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,SICARIATO,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,25,CUNDINAMARCA,25754,SOACHA,URBANA,MASCULINO,CONTUNDENTES,AGRESION,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,41,HUILA,41006,ACEVEDO,RURAL,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,41,HUILA,41006,ACEVEDO,RURAL,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,41,HUILA,41359,ISNOS,URBANA,MASCULINO,ARMA DE FUEGO,RIÑAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,44,LA GUAJIRA,44078,BARRANCAS,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,47,MAGDALENA,47001,SANTA MARTA,RURAL,MASCULINO,ARMA DE FUEGO,AGRESION,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,47,MAGDALENA,47001,SANTA MARTA,URBANA,FEMENINO,ARMA DE FUEGO,AGRESION,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,52,NARIÑO,52019,ALBAN,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,52,NARIÑO,52079,BARBACOAS,URBANA,MASCULINO,ARMA DE FUEGO,RIÑAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,52,NARIÑO,52354,IMUES,URBANA,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,RIÑAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,52,NARIÑO,52356,IPIALES,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,52,NARIÑO,52356,IPIALES,URBANA,NO REPORTA,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,54,NORTE DE SANTANDER,54051,ARBOLEDAS,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,54,NORTE DE SANTANDER,54099,BOCHALEMA,URBANA,MASCULINO,ARMA DE FUEGO,SICARIATO,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,54,NORTE DE SANTANDER,54001,CUCUTA,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,54,NORTE DE SANTANDER,54001,CUCUTA,URBANA,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,AGRESION,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,54,NORTE DE SANTANDER,54250,EL TARRA,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,54,NORTE DE SANTANDER,54347,HERRAN,RURAL,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,54,NORTE DE SANTANDER,54405,LOS PATIOS,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,54,NORTE DE SANTANDER,54720,SARDINATA,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,86,PUTUMAYO,86568,PUERTO ASIS,RURAL,MASCULINO,ARMA DE FUEGO,ATACADOS POR AUTODEFENSAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,86,PUTUMAYO,86568,PUERTO ASIS,URBANA,FEMENINO,ARMA DE FUEGO,ATACADOS POR AUTODEFENSAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
