departamento,municipio,codigo_dane,armas_medios,fecha_hecho,genero,grupo_etario,cantidad,delito,fecha,tipo
CAQUETÁ,Florencia (CT),18001000,NO REPORTADO,06/03/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-06-03,denuncia
PUTUMAYO,Puerto Asís,86568000,NO REPORTADO,07/03/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-07-03,denuncia
ANTIOQUIA,Copacabana,5212000,NO REPORTADO,01/02/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-02,denuncia
SUCRE,Los Palmitos,70418000,NO REPORTADO,09/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,2010-09-01,denuncia
BOGOTA,Bogotá D.C. (CT),11001000,NO REPORTADO,04/02/2010,FEMENINO,ADULTOS,1,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-04-02,denuncia
ANTIOQUIA,Amagá,5030000,NO REPORTADO,09/02/2010,MASCULINO,ADOLESCENTES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-09-02,denuncia
ATLÁNTICO,Soledad,8758000,NO REPORTADO,01/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-01,denuncia
BOLÍVAR,Arjona,13052000,NO REPORTADO,01/03/2010,FEMENINO,MENORES,1,ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN),2010-01-03,denuncia
CAUCA,Santander de Quilichao,19698000,NO REPORTADO,06/03/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-06-03,denuncia
VALLE,Cali (CT),76001000,NO REPORTADO,05/02/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-05-02,denuncia
BOYACÁ,Puerto Boyacá,15572000,NO REPORTADO,05/02/2010,FEMENINO,MENORES,1,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-05-02,denuncia
QUINDÍO,Armenia (CT),63001000,NO REPORTADO,07/02/2010,FEMENINO,ADULTOS,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-07-02,denuncia
BOLÍVAR,Cartagena (CT),13001000,NO REPORTADO,12/03/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-12-03,denuncia
SANTANDER,Bucaramanga (CT),68001000,NO REPORTADO,09/02/2010,FEMENINO,ADULTOS,1,ARTÍCULO 207. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR,2010-09-02,denuncia
CAQUETÁ,Florencia (CT),18001000,NO REPORTADO,04/02/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-04-02,denuncia
META,Granada,50313000,NO REPORTADO,12/02/2010,FEMENINO,ADULTOS,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-12-02,denuncia
ATLÁNTICO,Malambo,8433000,NO REPORTADO,07/03/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-07-03,denuncia
CUNDINAMARCA,Soacha,25754000,NO REPORTADO,11/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-11-01,denuncia
HUILA,Tesalia,41797000,NO REPORTADO,10/02/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-10-02,denuncia
SUCRE,Sampués,70670000,NO REPORTADO,06/02/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-06-02,denuncia
META,Granada,50313000,NO REPORTADO,01/03/2010,FEMENINO,ADULTOS,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-03,denuncia
HUILA,San Agustín,41668000,NO REPORTADO,01/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-01,denuncia
BOLÍVAR,San Jacinto,13654000,NO REPORTADO,06/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-06-01,denuncia
SANTANDER,Floridablanca,68276000,NO REPORTADO,04/02/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-04-02,denuncia
CAQUETÁ,Florencia (CT),18001000,NO REPORTADO,08/01/2010,MASCULINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-08-01,denuncia
BOYACÁ,Santa Rosa de Viterbo,15693000,NO REPORTADO,09/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-09-01,denuncia
