departamento,municipio,codigo_dane,armas_medios,fecha_hecho,genero,grupo_etario,tipo_de_hurto,cantidad,fecha,tipo
CÓRDOBA,Sahagún,23660000,NO REPORTADO,06/04/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2015-06-04,hurto
ANTIOQUIA,Urrao,5847000,NO REPORTADO,07/05/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-07-05,hurto
ANTIOQUIA,Medellín (CT),5001000,NO REPORTADO,11/10/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-11-10,hurto
NORTE DE SANTANDER,Chinácota,54172000,NO REPORTADO,12/10/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-12-10,hurto
GUAJIRA,Riohacha (CT),44001000,NO REPORTADO,11/10/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2014-11-10,hurto
ANTIOQUIA,Ciudad Bolívar,5101000,NO REPORTADO,05/04/2015,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-05-04,hurto
NORTE DE SANTANDER,Villa del Rosario,54874000,NO REPORTADO,06/12/2014,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2014-06-12,hurto
META,Villavicencio (CT),50001000,NO REPORTADO,03/12/2014,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-03-12,hurto
ANTIOQUIA,Rionegro,5615000,NO REPORTADO,09/02/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-09-02,hurto
BOLÍVAR,Cartagena (CT),13001000,NO REPORTADO,07/06/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2015-07-06,hurto
RISARALDA,Dosquebradas,66170000,NO REPORTADO,06/12/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-06-12,hurto
ANTIOQUIA,San Pedro,5664000,NO REPORTADO,08/12/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-08-12,hurto
ANTIOQUIA,Medellín (CT),5001000,NO REPORTADO,02/12/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-02-12,hurto
CAQUETÁ,Florencia (CT),18001000,NO REPORTADO,07/04/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-07-04,hurto
CESAR,Bosconia,20060000,NO REPORTADO,05/06/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2015-05-06,hurto
BOGOTA,Bogotá D.C. (CT),11001000,NO REPORTADO,02/11/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2014-02-11,hurto
META,Restrepo,50606000,NO REPORTADO,09/11/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-09-11,hurto
BOYACÁ,Tunja (CT),15001000,NO REPORTADO,02/11/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-02-11,hurto
CUNDINAMARCA,Facatativá,25269000,NO REPORTADO,09/06/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2015-09-06,hurto
