fecha_hecho,cod_depto,departamento,cod_muni,municipio,zona,sexo,arma_medio,_modalidad_presunta,spoa_caracterizacion,cantidad,FECHA,ANO,MES
2003-01-02,05,ANTIOQUIA,05690,SANTO DOMINGO,RURAL,FEMENINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,05,ANTIOQUIA,05736,SEGOVIA,RURAL,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,05,ANTIOQUIA,05761,SOPETRAN,RURAL,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,08,ATLANTICO,08001,BARRANQUILLA,URBANA,MASCULINO,ARMA DE FUEGO,ATRACO,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,11,BOGOTA D.C.,11001,BOGOTA D.C.,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,11,BOGOTA D.C.,11001,BOGOTA D.C.,URBANA,MASCULINO,ARMA DE FUEGO,RIÑAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,17,CALDAS,17088,BELALCAZAR,RURAL,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,2,2003-01-02,2003,1
2003-01-02,85,CASANARE,85001,YOPAL,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,19,CAUCA,19473,MORALES,RURAL,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,20,CESAR,20750,SAN DIEGO,RURAL,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,27,CHOCO,27660,SAN JOSE DEL PALMAR,URBANA,MASCULINO,ARMA DE FUEGO,RIÑAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,23,CORDOBA,23001,MONTERIA,RURAL,MASCULINO,ARMA DE FUEGO,SICARIATO,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,25,CUNDINAMARCA,25258,EL PEÑON,RURAL,MASCULINO,ARMA DE FUEGO,ATACADOS POR SUBVERSION,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,41,HUILA,41001,NEIVA,URBANA,FEMENINO,CONTUNDENTES,ESTRANGULACION,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,44,LA GUAJIRA,44430,MAICAO,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,44,LA GUAJIRA,44001,RIOHACHA,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,44,LA GUAJIRA,44847,URIBIA,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,47,MAGDALENA,47058,ARIGUANI,URBANA,MASCULINO,ARMA DE FUEGO,AGRESION,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,47,MAGDALENA,47980,ZONA BANANERA,RURAL,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,AGRESION,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,50,META,50001,VILLAVICENCIO,RURAL,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,52,NARIÑO,52320,GUAITARILLA,URBANA,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,52,NARIÑO,52835,SAN ANDRES DE TUMACO,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,52,NARIÑO,52838,TUQUERRES,URBANA,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,54,NORTE DE SANTANDER,54001,CUCUTA,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
