departamento,municipio,codigo_dane,armas_medios,fecha_hecho,genero,grupo_etario,tipo_de_hurto,cantidad,FECHA,ANO,MES
BOGOTA,BOGOTÁ D.C.,11001000,ARMA BLANCA / CORTOPUNZANTE,29/02/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2024-02-29,2024,2
BOLÍVAR,TURBACO,13836000,ARMA BLANCA / CORTOPUNZANTE,29/02/2024,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2024-02-29,2024,2
BOGOTA,BOGOTÁ D.C.,11001000,ARMA BLANCA / CORTOPUNZANTE,01/03/2024,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-01,2024,3
BOLÍVAR,CARTAGENA,13001000,ARMA BLANCA / CORTOPUNZANTE,01/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-01,2024,3
SANTANDER,PIEDECUESTA,68547000,ARMA BLANCA / CORTOPUNZANTE,01/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-01,2024,3
VALLE,JAMUNDÍ,76364000,ARMA BLANCA / CORTOPUNZANTE,01/03/2024,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-01,2024,3
ANTIOQUIA,MEDELLÍN,05001000,ARMA BLANCA / CORTOPUNZANTE,02/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-02,2024,3
META,VILLAVICENCIO,50001000,ARMA BLANCA / CORTOPUNZANTE,02/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-02,2024,3
BOGOTA,BOGOTÁ D.C.,11001000,ARMA BLANCA / CORTOPUNZANTE,03/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-03,2024,3
CAUCA,POPAYÁN,19001000,ARMA BLANCA / CORTOPUNZANTE,03/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-03,2024,3
HUILA,LA PLATA,41396000,ARMA BLANCA / CORTOPUNZANTE,03/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-03,2024,3
